distribution_type,distribution_format,distribution_title,distribution_description,distribution_downloadURL,title,description,modified,accessLevel,identifier,landingPage
dcat:Distribution,CSV,Blueprint Data Chart 11-16-20,"&#42; Schools that have already re-opened if a county was in a less restrictive tier do not have to close. However, if a school had not already reopened for in person instruction, it May not reopen until the county moves back to Tier 2 for 14 days. See Schools guidance, schools FAQs and cohorting FAQs. 											
** Test volume adjustment for case rate is based on data used for Blueprint calculations on 11/9",https://data.chhs.ca.gov/dataset/e19b8fba-7c04-495b-8e2f-90d041e1bb59/resource/9f6d92c3-2fd4-456b-b31e-c613649ba37e/download/blueprint_data_chart_111620.csv,COVID-19 Blueprint for a Safer Economy Data Chart,"11-16-20 note: Due to the recent increase of cases, the table format has changed to reflect change in county tier status. Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for further information.

California has a new blueprint for reducing COVID-19 in the state with revised criteria for loosening and tightening restrictions on activities. Every county in California is assigned to a tier based on its test positivity and adjusted case rate for tier assignment. Additionally, a new health equity metric took effect on October 6, 2020. In order to advance to the next less restrictive tier, each county will need to meet an equity metric or demonstrate targeted investments to eliminate disparities in levels of COVID-19 transmission, depending on its size. The California Health Equity Metric is designed to help guide counties in their continuing efforts to reduce COVID-19 cases in all communities and requires more intensive efforts to prevent and mitigate the spread of COVID-19 among Californians who have been disproportionately impacted by this pandemic.

Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for more information.

Also, in lieu of a Data Dictionary, please refer to the detailed explanation of the data columns in Appendix 1 of the above webpage.

Because this data is in machine-readable format, the merged headers at the top of the source spreadsheet have not been included:

- The first 8 columns are under the header ""County Status as of Tier Assignment""

-  The next 3 columns are under the header ""Current Data Week Tier and Metric Tiers for Data Week""

-  The next 4 columns are under the header ""Case Rate Adjustment Factors""

-  The next column is under the header ""Small County Considerations""

-  The last 5 columns are under the header ""Health Equity Framework Parameters""",2020-11-17T02:47:14.274698,public,e19b8fba-7c04-495b-8e2f-90d041e1bb59,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx
dcat:Distribution,CSV,Blueprint Data Chart 11-10-20,"&#42;Undergoing county tier adjudication with CDPH											
&#42;&#42;Small County: Held harmless, did not exceed case number threshold											
^ Entering into supportive engagement with CDPH											
^^Source: http://www.dof.ca.gov/Forecasting/Demographics/Projections/ 											
^^^Schools that have already re-opened if a county was in a less restrictive tier do not have to close. However, if a school had not already reopened for in person instruction, it may not reopen until the county moves back to Tier 2 for 14 days. See Schools guidance, schools FAQs and cohorting FAQs.",https://data.chhs.ca.gov/dataset/e19b8fba-7c04-495b-8e2f-90d041e1bb59/resource/e2ec819f-5c15-41b1-bfce-389c63092844/download/blueprint_data_chart_111020.csv,COVID-19 Blueprint for a Safer Economy Data Chart,"11-16-20 note: Due to the recent increase of cases, the table format has changed to reflect change in county tier status. Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for further information.

California has a new blueprint for reducing COVID-19 in the state with revised criteria for loosening and tightening restrictions on activities. Every county in California is assigned to a tier based on its test positivity and adjusted case rate for tier assignment. Additionally, a new health equity metric took effect on October 6, 2020. In order to advance to the next less restrictive tier, each county will need to meet an equity metric or demonstrate targeted investments to eliminate disparities in levels of COVID-19 transmission, depending on its size. The California Health Equity Metric is designed to help guide counties in their continuing efforts to reduce COVID-19 cases in all communities and requires more intensive efforts to prevent and mitigate the spread of COVID-19 among Californians who have been disproportionately impacted by this pandemic.

Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for more information.

Also, in lieu of a Data Dictionary, please refer to the detailed explanation of the data columns in Appendix 1 of the above webpage.

Because this data is in machine-readable format, the merged headers at the top of the source spreadsheet have not been included:

- The first 8 columns are under the header ""County Status as of Tier Assignment""

-  The next 3 columns are under the header ""Current Data Week Tier and Metric Tiers for Data Week""

-  The next 4 columns are under the header ""Case Rate Adjustment Factors""

-  The next column is under the header ""Small County Considerations""

-  The last 5 columns are under the header ""Health Equity Framework Parameters""",2020-11-17T02:47:14.274698,public,e19b8fba-7c04-495b-8e2f-90d041e1bb59,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx
dcat:Distribution,CSV,Blueprint Data Chart 11-04-20,"&#42; Undergoing county tier adjudication with CDPH											
&#42;&#42; Small County: Held harmless, did not exceed case number threshold											
&#42;&#42;&#42; Placed in observation											
^ Entering into supportive engagement with CDPH											
^^Source: http://www.dof.ca.gov/Forecasting/Demographics/Projections/ 											
^^^Schools that have already re-opened if a county was in a less restrictive tier do not have to close. However, if a school had not already reopened for in person instruction, it may not reopen until the county moves back to Tier 2 for 14 days. See Schools guidance, schools FAQs and cohorting FAQs.",https://data.chhs.ca.gov/dataset/e19b8fba-7c04-495b-8e2f-90d041e1bb59/resource/7a304f13-7a24-4942-bb3d-e93ac9887ebe/download/blueprint_data_chart_110420.csv,COVID-19 Blueprint for a Safer Economy Data Chart,"11-16-20 note: Due to the recent increase of cases, the table format has changed to reflect change in county tier status. Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for further information.

California has a new blueprint for reducing COVID-19 in the state with revised criteria for loosening and tightening restrictions on activities. Every county in California is assigned to a tier based on its test positivity and adjusted case rate for tier assignment. Additionally, a new health equity metric took effect on October 6, 2020. In order to advance to the next less restrictive tier, each county will need to meet an equity metric or demonstrate targeted investments to eliminate disparities in levels of COVID-19 transmission, depending on its size. The California Health Equity Metric is designed to help guide counties in their continuing efforts to reduce COVID-19 cases in all communities and requires more intensive efforts to prevent and mitigate the spread of COVID-19 among Californians who have been disproportionately impacted by this pandemic.

Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for more information.

Also, in lieu of a Data Dictionary, please refer to the detailed explanation of the data columns in Appendix 1 of the above webpage.

Because this data is in machine-readable format, the merged headers at the top of the source spreadsheet have not been included:

- The first 8 columns are under the header ""County Status as of Tier Assignment""

-  The next 3 columns are under the header ""Current Data Week Tier and Metric Tiers for Data Week""

-  The next 4 columns are under the header ""Case Rate Adjustment Factors""

-  The next column is under the header ""Small County Considerations""

-  The last 5 columns are under the header ""Health Equity Framework Parameters""",2020-11-17T02:47:14.274698,public,e19b8fba-7c04-495b-8e2f-90d041e1bb59,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx
dcat:Distribution,CSV,Blueprint Data Chart 10-27-20,"Annotations in file:

&#42;Undergoing Tier Adjudication with CDPH											
&#42;&#42;Small County: Held harmless, did not exceed case number threshold											
&#42;&#42;&#42;Calaveras met small county criteria to advance to yellow. San Francisco and Humboldt remain in yellow tier due to prior movement via accelerated health equity tier criteria											
^Source: http://www.dof.ca.gov/Forecasting/Demographics/Projections/ 											
^^Entering into supportive engagement with CDPH. Shasta County under observation period.",https://data.chhs.ca.gov/dataset/e19b8fba-7c04-495b-8e2f-90d041e1bb59/resource/0134ed94-3c7f-4d4c-b840-f5954c51f4f0/download/blueprint_data_chart_102720.csv,COVID-19 Blueprint for a Safer Economy Data Chart,"11-16-20 note: Due to the recent increase of cases, the table format has changed to reflect change in county tier status. Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for further information.

California has a new blueprint for reducing COVID-19 in the state with revised criteria for loosening and tightening restrictions on activities. Every county in California is assigned to a tier based on its test positivity and adjusted case rate for tier assignment. Additionally, a new health equity metric took effect on October 6, 2020. In order to advance to the next less restrictive tier, each county will need to meet an equity metric or demonstrate targeted investments to eliminate disparities in levels of COVID-19 transmission, depending on its size. The California Health Equity Metric is designed to help guide counties in their continuing efforts to reduce COVID-19 cases in all communities and requires more intensive efforts to prevent and mitigate the spread of COVID-19 among Californians who have been disproportionately impacted by this pandemic.

Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for more information.

Also, in lieu of a Data Dictionary, please refer to the detailed explanation of the data columns in Appendix 1 of the above webpage.

Because this data is in machine-readable format, the merged headers at the top of the source spreadsheet have not been included:

- The first 8 columns are under the header ""County Status as of Tier Assignment""

-  The next 3 columns are under the header ""Current Data Week Tier and Metric Tiers for Data Week""

-  The next 4 columns are under the header ""Case Rate Adjustment Factors""

-  The next column is under the header ""Small County Considerations""

-  The last 5 columns are under the header ""Health Equity Framework Parameters""",2020-11-17T02:47:14.274698,public,e19b8fba-7c04-495b-8e2f-90d041e1bb59,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx
dcat:Distribution,CSV,Blueprint Data Chart 10-21-20,"Annotations in file:

&#42;Undergoing Tier Adjudication with CDPH											
&#42;&#42;Small County: Held harmless, did not exceed case number threshold											
&#42;&#42;&#42;Accelerated Health Equity: San Francisco meets criteria for accelerated movement to a less restrictive tier. Humboldt remains in tier to via accelerated health equity criteria. 											
^Source: http://www.dof.ca.gov/Forecasting/Demographics/Projections/ 											
^^Entering into supportive engagement with CDPH

&#94;&#94;&#94; HE=Health Equity",https://data.chhs.ca.gov/dataset/e19b8fba-7c04-495b-8e2f-90d041e1bb59/resource/75fb93ac-b85a-4169-9145-77cf3c4e77b8/download/blueprint_data_chart_102120.csv,COVID-19 Blueprint for a Safer Economy Data Chart,"11-16-20 note: Due to the recent increase of cases, the table format has changed to reflect change in county tier status. Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for further information.

California has a new blueprint for reducing COVID-19 in the state with revised criteria for loosening and tightening restrictions on activities. Every county in California is assigned to a tier based on its test positivity and adjusted case rate for tier assignment. Additionally, a new health equity metric took effect on October 6, 2020. In order to advance to the next less restrictive tier, each county will need to meet an equity metric or demonstrate targeted investments to eliminate disparities in levels of COVID-19 transmission, depending on its size. The California Health Equity Metric is designed to help guide counties in their continuing efforts to reduce COVID-19 cases in all communities and requires more intensive efforts to prevent and mitigate the spread of COVID-19 among Californians who have been disproportionately impacted by this pandemic.

Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for more information.

Also, in lieu of a Data Dictionary, please refer to the detailed explanation of the data columns in Appendix 1 of the above webpage.

Because this data is in machine-readable format, the merged headers at the top of the source spreadsheet have not been included:

- The first 8 columns are under the header ""County Status as of Tier Assignment""

-  The next 3 columns are under the header ""Current Data Week Tier and Metric Tiers for Data Week""

-  The next 4 columns are under the header ""Case Rate Adjustment Factors""

-  The next column is under the header ""Small County Considerations""

-  The last 5 columns are under the header ""Health Equity Framework Parameters""",2020-11-17T02:47:14.274698,public,e19b8fba-7c04-495b-8e2f-90d041e1bb59,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx
dcat:Distribution,CSV,Blueprint Data Chart 10-13-2020,"Annotations in file:

&#42;Remains in Tier moved to via accelerated Health Equity criteria				
&#42;&#42;Small County: Held harmless, did not exceed case number threshold				
&#42;&#42;&#42;Undergoing Adjudication				
&#94;Source: http://www.dof.ca.gov/Forecasting/Demographics/Projections/ 		
&#94;&#94; HE=Health Equity",https://data.chhs.ca.gov/dataset/e19b8fba-7c04-495b-8e2f-90d041e1bb59/resource/54b23838-c746-4a5a-8267-d49351957adf/download/bdc-101320.csv,COVID-19 Blueprint for a Safer Economy Data Chart,"11-16-20 note: Due to the recent increase of cases, the table format has changed to reflect change in county tier status. Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for further information.

California has a new blueprint for reducing COVID-19 in the state with revised criteria for loosening and tightening restrictions on activities. Every county in California is assigned to a tier based on its test positivity and adjusted case rate for tier assignment. Additionally, a new health equity metric took effect on October 6, 2020. In order to advance to the next less restrictive tier, each county will need to meet an equity metric or demonstrate targeted investments to eliminate disparities in levels of COVID-19 transmission, depending on its size. The California Health Equity Metric is designed to help guide counties in their continuing efforts to reduce COVID-19 cases in all communities and requires more intensive efforts to prevent and mitigate the spread of COVID-19 among Californians who have been disproportionately impacted by this pandemic.

Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for more information.

Also, in lieu of a Data Dictionary, please refer to the detailed explanation of the data columns in Appendix 1 of the above webpage.

Because this data is in machine-readable format, the merged headers at the top of the source spreadsheet have not been included:

- The first 8 columns are under the header ""County Status as of Tier Assignment""

-  The next 3 columns are under the header ""Current Data Week Tier and Metric Tiers for Data Week""

-  The next 4 columns are under the header ""Case Rate Adjustment Factors""

-  The next column is under the header ""Small County Considerations""

-  The last 5 columns are under the header ""Health Equity Framework Parameters""",2020-11-17T02:47:14.274698,public,e19b8fba-7c04-495b-8e2f-90d041e1bb59,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx
dcat:Distribution,CSV,Blueprint Data Chart 10-6-2020,"Annotations in file:

&#42;Health Equity Metric: Meets criteria for accelerated movement to a less restrictive tier.					
&#42;&#42;Small County: Held harmless, did not exceed case number threshold.					
&#42;&#42;&#42;Moved to more restrictive tier due to exceeding case number threshold for small county					
&#94;Entering into supportive engagement period with CDPH.					
&#94; &#94;Source: http://www.dof.ca.gov/Forecasting/Demographics/Projections/",https://data.chhs.ca.gov/dataset/e19b8fba-7c04-495b-8e2f-90d041e1bb59/resource/ac6a38fc-9aba-432f-8934-507740c63526/download/bdc-100620.csv,COVID-19 Blueprint for a Safer Economy Data Chart,"11-16-20 note: Due to the recent increase of cases, the table format has changed to reflect change in county tier status. Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for further information.

California has a new blueprint for reducing COVID-19 in the state with revised criteria for loosening and tightening restrictions on activities. Every county in California is assigned to a tier based on its test positivity and adjusted case rate for tier assignment. Additionally, a new health equity metric took effect on October 6, 2020. In order to advance to the next less restrictive tier, each county will need to meet an equity metric or demonstrate targeted investments to eliminate disparities in levels of COVID-19 transmission, depending on its size. The California Health Equity Metric is designed to help guide counties in their continuing efforts to reduce COVID-19 cases in all communities and requires more intensive efforts to prevent and mitigate the spread of COVID-19 among Californians who have been disproportionately impacted by this pandemic.

Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for more information.

Also, in lieu of a Data Dictionary, please refer to the detailed explanation of the data columns in Appendix 1 of the above webpage.

Because this data is in machine-readable format, the merged headers at the top of the source spreadsheet have not been included:

- The first 8 columns are under the header ""County Status as of Tier Assignment""

-  The next 3 columns are under the header ""Current Data Week Tier and Metric Tiers for Data Week""

-  The next 4 columns are under the header ""Case Rate Adjustment Factors""

-  The next column is under the header ""Small County Considerations""

-  The last 5 columns are under the header ""Health Equity Framework Parameters""",2020-11-17T02:47:14.274698,public,e19b8fba-7c04-495b-8e2f-90d041e1bb59,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx
dcat:Distribution,CSV,Blueprint Data Chart 9-29-2020,"Annotations in file: 

&#42;Entering into supportive engagement period with CDPH. Modoc will remain in the yellow tier. Lake held harmless and will be held in Red tier.								
&#42;&#42;County was in tier adjudication with CDPH. Final determination places county in Orange tier for 09/29 assessment and retroactively for 09/22								
&#42;&#42;&#42;County underwent tier adjudication with CDPH after 9/22 tier assignment. County has been moved from Red to Orange tier								
&#94;Source: http://www.dof.ca.gov/Forecasting/Demographics/Projections/ 								
&#94;&#94;Metrics with values greater than or less than tier cutpoints by .05 will be rounded up or down using conventional rounding rules",https://data.chhs.ca.gov/dataset/e19b8fba-7c04-495b-8e2f-90d041e1bb59/resource/35d2361a-cf0b-4128-855a-ef93255ac240/download/bdc-092920.csv,COVID-19 Blueprint for a Safer Economy Data Chart,"11-16-20 note: Due to the recent increase of cases, the table format has changed to reflect change in county tier status. Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for further information.

California has a new blueprint for reducing COVID-19 in the state with revised criteria for loosening and tightening restrictions on activities. Every county in California is assigned to a tier based on its test positivity and adjusted case rate for tier assignment. Additionally, a new health equity metric took effect on October 6, 2020. In order to advance to the next less restrictive tier, each county will need to meet an equity metric or demonstrate targeted investments to eliminate disparities in levels of COVID-19 transmission, depending on its size. The California Health Equity Metric is designed to help guide counties in their continuing efforts to reduce COVID-19 cases in all communities and requires more intensive efforts to prevent and mitigate the spread of COVID-19 among Californians who have been disproportionately impacted by this pandemic.

Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for more information.

Also, in lieu of a Data Dictionary, please refer to the detailed explanation of the data columns in Appendix 1 of the above webpage.

Because this data is in machine-readable format, the merged headers at the top of the source spreadsheet have not been included:

- The first 8 columns are under the header ""County Status as of Tier Assignment""

-  The next 3 columns are under the header ""Current Data Week Tier and Metric Tiers for Data Week""

-  The next 4 columns are under the header ""Case Rate Adjustment Factors""

-  The next column is under the header ""Small County Considerations""

-  The last 5 columns are under the header ""Health Equity Framework Parameters""",2020-11-17T02:47:14.274698,public,e19b8fba-7c04-495b-8e2f-90d041e1bb59,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx
dcat:Distribution,CSV,Blueprint Data Chart 9-15-2020,"Annotations in file:

&#42;Placed in Red tier after data adjudication with CDPH for week of 09/08/2020														
&#42;&#42;Will undergo data adjudication with CDPH for high case rate",https://data.chhs.ca.gov/dataset/e19b8fba-7c04-495b-8e2f-90d041e1bb59/resource/b3424108-2aa8-4210-a6d4-494bccaa692e/download/bdc-091520.csv,COVID-19 Blueprint for a Safer Economy Data Chart,"11-16-20 note: Due to the recent increase of cases, the table format has changed to reflect change in county tier status. Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for further information.

California has a new blueprint for reducing COVID-19 in the state with revised criteria for loosening and tightening restrictions on activities. Every county in California is assigned to a tier based on its test positivity and adjusted case rate for tier assignment. Additionally, a new health equity metric took effect on October 6, 2020. In order to advance to the next less restrictive tier, each county will need to meet an equity metric or demonstrate targeted investments to eliminate disparities in levels of COVID-19 transmission, depending on its size. The California Health Equity Metric is designed to help guide counties in their continuing efforts to reduce COVID-19 cases in all communities and requires more intensive efforts to prevent and mitigate the spread of COVID-19 among Californians who have been disproportionately impacted by this pandemic.

Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for more information.

Also, in lieu of a Data Dictionary, please refer to the detailed explanation of the data columns in Appendix 1 of the above webpage.

Because this data is in machine-readable format, the merged headers at the top of the source spreadsheet have not been included:

- The first 8 columns are under the header ""County Status as of Tier Assignment""

-  The next 3 columns are under the header ""Current Data Week Tier and Metric Tiers for Data Week""

-  The next 4 columns are under the header ""Case Rate Adjustment Factors""

-  The next column is under the header ""Small County Considerations""

-  The last 5 columns are under the header ""Health Equity Framework Parameters""",2020-11-17T02:47:14.274698,public,e19b8fba-7c04-495b-8e2f-90d041e1bb59,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx
dcat:Distribution,CSV,Blueprint Data Chart 9-8-2020,"Annotations in file:

&#42;Source: http://www.dof.ca.gov/Forecasting/Demographics/Projections/ 				
&#42;&#42;Adjustment Case Rate For Tier Assignment Using Linear Adjustment per 100,000 excl prison (7 day avg 7 day lag)",https://data.chhs.ca.gov/dataset/e19b8fba-7c04-495b-8e2f-90d041e1bb59/resource/16a4a473-5969-44bf-ac00-84c27e6d0652/download/bdc-090820.csv,COVID-19 Blueprint for a Safer Economy Data Chart,"11-16-20 note: Due to the recent increase of cases, the table format has changed to reflect change in county tier status. Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for further information.

California has a new blueprint for reducing COVID-19 in the state with revised criteria for loosening and tightening restrictions on activities. Every county in California is assigned to a tier based on its test positivity and adjusted case rate for tier assignment. Additionally, a new health equity metric took effect on October 6, 2020. In order to advance to the next less restrictive tier, each county will need to meet an equity metric or demonstrate targeted investments to eliminate disparities in levels of COVID-19 transmission, depending on its size. The California Health Equity Metric is designed to help guide counties in their continuing efforts to reduce COVID-19 cases in all communities and requires more intensive efforts to prevent and mitigate the spread of COVID-19 among Californians who have been disproportionately impacted by this pandemic.

Please see https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx for more information.

Also, in lieu of a Data Dictionary, please refer to the detailed explanation of the data columns in Appendix 1 of the above webpage.

Because this data is in machine-readable format, the merged headers at the top of the source spreadsheet have not been included:

- The first 8 columns are under the header ""County Status as of Tier Assignment""

-  The next 3 columns are under the header ""Current Data Week Tier and Metric Tiers for Data Week""

-  The next 4 columns are under the header ""Case Rate Adjustment Factors""

-  The next column is under the header ""Small County Considerations""

-  The last 5 columns are under the header ""Health Equity Framework Parameters""",2020-11-17T02:47:14.274698,public,e19b8fba-7c04-495b-8e2f-90d041e1bb59,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/COVID19CountyMonitoringOverview.aspx
