distribution_type,distribution_downloadURL,distribution_mediaType,distribution_describedBy,distribution_describedByType,title,description,modified,accessLevel,identifier,landingPage
dcat:Distribution,https://data.cityofchicago.org/api/views/b5gf-tb76/rows.csv?accessType=DOWNLOAD,text/csv,nan,nan,Libraries - 2020 Wi Fi Usage,"The Chicago Public Library offers free WiFi at all locations. Chicago Public Library consists of the Harold Washington Library Center, Sulzer, Legler and Woodson regional libraries and over 70 neighborhood branches. Many locations experience sporadic closures to perform facilities upgrade or emergency closures due to heating or air conditioning issues, or area power outages. Independence, Little Italy (formerly Roosevelt) and Northtown reopened in early 2019 in new locations. The library also opened its 81st location, West Loop, in January. Douglass and Jefferson Park were closed for extensive renovations for most of the year. Legler, South Shore and Merlo were also closed for extensive renovations and will remain closed until 2020. In response to the evolving COVID-19 pandemic, the Chicago Public Library closed facilities to the public March 21, 2020 – June 7, 2020.",2020-10-26,public,https://data.cityofchicago.org/api/views/b5gf-tb76,https://data.cityofchicago.org/d/b5gf-tb76
dcat:Distribution,https://data.cityofchicago.org/api/views/b5gf-tb76/rows.rdf?accessType=DOWNLOAD,application/rdf+xml,https://data.cityofchicago.org/api/views/b5gf-tb76/columns.rdf,application/rdf+xml,Libraries - 2020 Wi Fi Usage,"The Chicago Public Library offers free WiFi at all locations. Chicago Public Library consists of the Harold Washington Library Center, Sulzer, Legler and Woodson regional libraries and over 70 neighborhood branches. Many locations experience sporadic closures to perform facilities upgrade or emergency closures due to heating or air conditioning issues, or area power outages. Independence, Little Italy (formerly Roosevelt) and Northtown reopened in early 2019 in new locations. The library also opened its 81st location, West Loop, in January. Douglass and Jefferson Park were closed for extensive renovations for most of the year. Legler, South Shore and Merlo were also closed for extensive renovations and will remain closed until 2020. In response to the evolving COVID-19 pandemic, the Chicago Public Library closed facilities to the public March 21, 2020 – June 7, 2020.",2020-10-26,public,https://data.cityofchicago.org/api/views/b5gf-tb76,https://data.cityofchicago.org/d/b5gf-tb76
dcat:Distribution,https://data.cityofchicago.org/api/views/b5gf-tb76/rows.json?accessType=DOWNLOAD,application/json,https://data.cityofchicago.org/api/views/b5gf-tb76/columns.json,application/json,Libraries - 2020 Wi Fi Usage,"The Chicago Public Library offers free WiFi at all locations. Chicago Public Library consists of the Harold Washington Library Center, Sulzer, Legler and Woodson regional libraries and over 70 neighborhood branches. Many locations experience sporadic closures to perform facilities upgrade or emergency closures due to heating or air conditioning issues, or area power outages. Independence, Little Italy (formerly Roosevelt) and Northtown reopened in early 2019 in new locations. The library also opened its 81st location, West Loop, in January. Douglass and Jefferson Park were closed for extensive renovations for most of the year. Legler, South Shore and Merlo were also closed for extensive renovations and will remain closed until 2020. In response to the evolving COVID-19 pandemic, the Chicago Public Library closed facilities to the public March 21, 2020 – June 7, 2020.",2020-10-26,public,https://data.cityofchicago.org/api/views/b5gf-tb76,https://data.cityofchicago.org/d/b5gf-tb76
dcat:Distribution,https://data.cityofchicago.org/api/views/b5gf-tb76/rows.xml?accessType=DOWNLOAD,application/xml,https://data.cityofchicago.org/api/views/b5gf-tb76/columns.svc,application/xml,Libraries - 2020 Wi Fi Usage,"The Chicago Public Library offers free WiFi at all locations. Chicago Public Library consists of the Harold Washington Library Center, Sulzer, Legler and Woodson regional libraries and over 70 neighborhood branches. Many locations experience sporadic closures to perform facilities upgrade or emergency closures due to heating or air conditioning issues, or area power outages. Independence, Little Italy (formerly Roosevelt) and Northtown reopened in early 2019 in new locations. The library also opened its 81st location, West Loop, in January. Douglass and Jefferson Park were closed for extensive renovations for most of the year. Legler, South Shore and Merlo were also closed for extensive renovations and will remain closed until 2020. In response to the evolving COVID-19 pandemic, the Chicago Public Library closed facilities to the public March 21, 2020 – June 7, 2020.",2020-10-26,public,https://data.cityofchicago.org/api/views/b5gf-tb76,https://data.cityofchicago.org/d/b5gf-tb76
dcat:Distribution,https://data.cityofchicago.org/api/views/brju-5v96/rows.csv?accessType=DOWNLOAD,text/csv,nan,nan,Libraries - 2020 Computer Sessions by Location,"The Chicago Public Library offers one-hour computer sessions and 15-minute computer sessions. Chicago Public Library consists of the Harold Washington Library Center, Sulzer, Legler and Woodson regional libraries and over 70 neighborhood branches. Many locations experience sporadic closures to perform facilities upgrade or emergency closures due to heating or air conditioning issues, or area power outages. Independence, Little Italy (formerly Roosevelt) and Northtown reopened in early 2019 in new locations. The library also opened its 81st location, West Loop, in January. Douglass and Jefferson Park were closed for extensive renovations for most of the year. Legler, South Shore and Merlo were also closed for extensive renovations and will remain closed until 2020. In response to the evolving COVID-19 pandemic, the Chicago Public Library closed facilities to the public March 21, 2020 – June 7, 2020.

NOTE: The equivalent dataset for past years used the column name LOCATION for the name of the library. This column has been renamed BRANCH for this dataset in order to allow for a LOCATION column containing the mappable location of the facility.",2020-10-26,public,https://data.cityofchicago.org/api/views/brju-5v96,https://data.cityofchicago.org/d/brju-5v96
dcat:Distribution,https://data.cityofchicago.org/api/views/brju-5v96/rows.rdf?accessType=DOWNLOAD,application/rdf+xml,https://data.cityofchicago.org/api/views/brju-5v96/columns.rdf,application/rdf+xml,Libraries - 2020 Computer Sessions by Location,"The Chicago Public Library offers one-hour computer sessions and 15-minute computer sessions. Chicago Public Library consists of the Harold Washington Library Center, Sulzer, Legler and Woodson regional libraries and over 70 neighborhood branches. Many locations experience sporadic closures to perform facilities upgrade or emergency closures due to heating or air conditioning issues, or area power outages. Independence, Little Italy (formerly Roosevelt) and Northtown reopened in early 2019 in new locations. The library also opened its 81st location, West Loop, in January. Douglass and Jefferson Park were closed for extensive renovations for most of the year. Legler, South Shore and Merlo were also closed for extensive renovations and will remain closed until 2020. In response to the evolving COVID-19 pandemic, the Chicago Public Library closed facilities to the public March 21, 2020 – June 7, 2020.

NOTE: The equivalent dataset for past years used the column name LOCATION for the name of the library. This column has been renamed BRANCH for this dataset in order to allow for a LOCATION column containing the mappable location of the facility.",2020-10-26,public,https://data.cityofchicago.org/api/views/brju-5v96,https://data.cityofchicago.org/d/brju-5v96
dcat:Distribution,https://data.cityofchicago.org/api/views/brju-5v96/rows.json?accessType=DOWNLOAD,application/json,https://data.cityofchicago.org/api/views/brju-5v96/columns.json,application/json,Libraries - 2020 Computer Sessions by Location,"The Chicago Public Library offers one-hour computer sessions and 15-minute computer sessions. Chicago Public Library consists of the Harold Washington Library Center, Sulzer, Legler and Woodson regional libraries and over 70 neighborhood branches. Many locations experience sporadic closures to perform facilities upgrade or emergency closures due to heating or air conditioning issues, or area power outages. Independence, Little Italy (formerly Roosevelt) and Northtown reopened in early 2019 in new locations. The library also opened its 81st location, West Loop, in January. Douglass and Jefferson Park were closed for extensive renovations for most of the year. Legler, South Shore and Merlo were also closed for extensive renovations and will remain closed until 2020. In response to the evolving COVID-19 pandemic, the Chicago Public Library closed facilities to the public March 21, 2020 – June 7, 2020.

NOTE: The equivalent dataset for past years used the column name LOCATION for the name of the library. This column has been renamed BRANCH for this dataset in order to allow for a LOCATION column containing the mappable location of the facility.",2020-10-26,public,https://data.cityofchicago.org/api/views/brju-5v96,https://data.cityofchicago.org/d/brju-5v96
dcat:Distribution,https://data.cityofchicago.org/api/views/brju-5v96/rows.xml?accessType=DOWNLOAD,application/xml,https://data.cityofchicago.org/api/views/brju-5v96/columns.svc,application/xml,Libraries - 2020 Computer Sessions by Location,"The Chicago Public Library offers one-hour computer sessions and 15-minute computer sessions. Chicago Public Library consists of the Harold Washington Library Center, Sulzer, Legler and Woodson regional libraries and over 70 neighborhood branches. Many locations experience sporadic closures to perform facilities upgrade or emergency closures due to heating or air conditioning issues, or area power outages. Independence, Little Italy (formerly Roosevelt) and Northtown reopened in early 2019 in new locations. The library also opened its 81st location, West Loop, in January. Douglass and Jefferson Park were closed for extensive renovations for most of the year. Legler, South Shore and Merlo were also closed for extensive renovations and will remain closed until 2020. In response to the evolving COVID-19 pandemic, the Chicago Public Library closed facilities to the public March 21, 2020 – June 7, 2020.

NOTE: The equivalent dataset for past years used the column name LOCATION for the name of the library. This column has been renamed BRANCH for this dataset in order to allow for a LOCATION column containing the mappable location of the facility.",2020-10-26,public,https://data.cityofchicago.org/api/views/brju-5v96,https://data.cityofchicago.org/d/brju-5v96
dcat:Distribution,https://data.cityofchicago.org/api/views/cjy2-75rw/rows.csv?accessType=DOWNLOAD,text/csv,nan,nan,Libraries - 2020 Holds Filled by Location,"This data is for materials pulled to fulfill patron holds. Chicago Public Library consists of the Harold Washington Library Center, Sulzer, Legler and Woodson regional libraries and over 70 neighborhood branches. Many locations experience sporadic closures to perform facilities upgrade or emergency closures due to heating or air conditioning issues, or area power outages. Independence, Little Italy (formerly Roosevelt) and Northtown reopened in early 2019 in new locations. The library also opened its 81st location, West Loop, in January. Douglass and Jefferson Park were closed for extensive renovations for most of the year. Legler, South Shore and Merlo were also closed for extensive renovations and will remain closed until 2020. In response to the evolving COVID-19 pandemic, the Chicago Public Library closed facilities to the public March 21, 2020 – June 7, 2020.",2020-10-26,public,https://data.cityofchicago.org/api/views/cjy2-75rw,https://data.cityofchicago.org/d/cjy2-75rw
dcat:Distribution,https://data.cityofchicago.org/api/views/cjy2-75rw/rows.rdf?accessType=DOWNLOAD,application/rdf+xml,https://data.cityofchicago.org/api/views/cjy2-75rw/columns.rdf,application/rdf+xml,Libraries - 2020 Holds Filled by Location,"This data is for materials pulled to fulfill patron holds. Chicago Public Library consists of the Harold Washington Library Center, Sulzer, Legler and Woodson regional libraries and over 70 neighborhood branches. Many locations experience sporadic closures to perform facilities upgrade or emergency closures due to heating or air conditioning issues, or area power outages. Independence, Little Italy (formerly Roosevelt) and Northtown reopened in early 2019 in new locations. The library also opened its 81st location, West Loop, in January. Douglass and Jefferson Park were closed for extensive renovations for most of the year. Legler, South Shore and Merlo were also closed for extensive renovations and will remain closed until 2020. In response to the evolving COVID-19 pandemic, the Chicago Public Library closed facilities to the public March 21, 2020 – June 7, 2020.",2020-10-26,public,https://data.cityofchicago.org/api/views/cjy2-75rw,https://data.cityofchicago.org/d/cjy2-75rw
