distribution_type,distribution_downloadURL,distribution_mediaType,distribution_describedBy,distribution_describedByType,distribution_description,distribution_title,title,description,modified,accessLevel,identifier,landingPage
dcat:Distribution,https://data.colorado.gov/api/views/73ay-2ues/rows.csv?accessType=DOWNLOAD,text/csv,nan,nan,nan,nan,Paycheck Protection Program Loans in Colorado,"Paycheck Protection Program loans are SBA loans that helps businesses keep their workforce employed during the Coronavirus (COVID-19) crisis, specific to Colorado. Includes < $150,000 loans and > $150,000 loans. Current law dictates that the Paycheck Protection Program (PPP) close at the end of August 8, 2020.",2020-11-16,public,https://data.colorado.gov/api/views/73ay-2ues,https://data.colorado.gov/d/73ay-2ues
dcat:Distribution,https://data.colorado.gov/api/views/73ay-2ues/rows.rdf?accessType=DOWNLOAD,application/rdf+xml,https://data.colorado.gov/api/views/73ay-2ues/columns.rdf,application/rdf+xml,nan,nan,Paycheck Protection Program Loans in Colorado,"Paycheck Protection Program loans are SBA loans that helps businesses keep their workforce employed during the Coronavirus (COVID-19) crisis, specific to Colorado. Includes < $150,000 loans and > $150,000 loans. Current law dictates that the Paycheck Protection Program (PPP) close at the end of August 8, 2020.",2020-11-16,public,https://data.colorado.gov/api/views/73ay-2ues,https://data.colorado.gov/d/73ay-2ues
dcat:Distribution,https://data.colorado.gov/api/views/73ay-2ues/rows.json?accessType=DOWNLOAD,application/json,https://data.colorado.gov/api/views/73ay-2ues/columns.json,application/json,nan,nan,Paycheck Protection Program Loans in Colorado,"Paycheck Protection Program loans are SBA loans that helps businesses keep their workforce employed during the Coronavirus (COVID-19) crisis, specific to Colorado. Includes < $150,000 loans and > $150,000 loans. Current law dictates that the Paycheck Protection Program (PPP) close at the end of August 8, 2020.",2020-11-16,public,https://data.colorado.gov/api/views/73ay-2ues,https://data.colorado.gov/d/73ay-2ues
dcat:Distribution,https://data.colorado.gov/api/views/73ay-2ues/rows.xml?accessType=DOWNLOAD,application/xml,https://data.colorado.gov/api/views/73ay-2ues/columns.svc,application/xml,nan,nan,Paycheck Protection Program Loans in Colorado,"Paycheck Protection Program loans are SBA loans that helps businesses keep their workforce employed during the Coronavirus (COVID-19) crisis, specific to Colorado. Includes < $150,000 loans and > $150,000 loans. Current law dictates that the Paycheck Protection Program (PPP) close at the end of August 8, 2020.",2020-11-16,public,https://data.colorado.gov/api/views/73ay-2ues,https://data.colorado.gov/d/73ay-2ues
dcat:Distribution,https://covid19.colorado.gov/,text/html,nan,nan,Colorado COVID-19 Homepage,Colorado COVID-19 Homepage,Colorado COVID-19 Landing Page,,2020-03-19,public,https://data.colorado.gov/api/views/7r2u-yuai,https://data.colorado.gov/d/7r2u-yuai
dcat:Distribution,https://data.colorado.gov/api/views/8ant-mn9d/rows.csv?accessType=DOWNLOAD,text/csv,nan,nan,nan,nan,COVID-19 Economic Injury Disaster Loans (EIDL) Recipients in Colorado,"EIDL recipients from the US SBA, subset to the state of Colorado.",2020-11-16,public,https://data.colorado.gov/api/views/8ant-mn9d,https://data.colorado.gov/d/8ant-mn9d
dcat:Distribution,https://data.colorado.gov/api/views/8ant-mn9d/rows.rdf?accessType=DOWNLOAD,application/rdf+xml,https://data.colorado.gov/api/views/8ant-mn9d/columns.rdf,application/rdf+xml,nan,nan,COVID-19 Economic Injury Disaster Loans (EIDL) Recipients in Colorado,"EIDL recipients from the US SBA, subset to the state of Colorado.",2020-11-16,public,https://data.colorado.gov/api/views/8ant-mn9d,https://data.colorado.gov/d/8ant-mn9d
dcat:Distribution,https://data.colorado.gov/api/views/8ant-mn9d/rows.json?accessType=DOWNLOAD,application/json,https://data.colorado.gov/api/views/8ant-mn9d/columns.json,application/json,nan,nan,COVID-19 Economic Injury Disaster Loans (EIDL) Recipients in Colorado,"EIDL recipients from the US SBA, subset to the state of Colorado.",2020-11-16,public,https://data.colorado.gov/api/views/8ant-mn9d,https://data.colorado.gov/d/8ant-mn9d
dcat:Distribution,https://data.colorado.gov/api/views/8ant-mn9d/rows.xml?accessType=DOWNLOAD,application/xml,https://data.colorado.gov/api/views/8ant-mn9d/columns.svc,application/xml,nan,nan,COVID-19 Economic Injury Disaster Loans (EIDL) Recipients in Colorado,"EIDL recipients from the US SBA, subset to the state of Colorado.",2020-11-16,public,https://data.colorado.gov/api/views/8ant-mn9d,https://data.colorado.gov/d/8ant-mn9d
dcat:Distribution,https://data.colorado.gov/api/views/e7wz-djhw/rows.csv?accessType=DOWNLOAD,text/csv,nan,nan,nan,nan,COVID-19 Liquor License Modifications in Colorado,"Due to COVID-19, liquor establishments licensed for on-premises sales and consumption of alcohol beverages were closed, and take out and delivery methods were put into place. As Colorado now starts to re-open certain businesses, the Liquor Enforcement Division has been collaborating with local licensing authorities, various state and county public health departments, and various stakeholders, to re-open with limited capacity for on-site consumption of alcohol beverages and food service.",2020-11-16,public,https://data.colorado.gov/api/views/e7wz-djhw,https://data.colorado.gov/d/e7wz-djhw
dcat:Distribution,https://data.colorado.gov/api/views/e7wz-djhw/rows.rdf?accessType=DOWNLOAD,application/rdf+xml,https://data.colorado.gov/api/views/e7wz-djhw/columns.rdf,application/rdf+xml,nan,nan,COVID-19 Liquor License Modifications in Colorado,"Due to COVID-19, liquor establishments licensed for on-premises sales and consumption of alcohol beverages were closed, and take out and delivery methods were put into place. As Colorado now starts to re-open certain businesses, the Liquor Enforcement Division has been collaborating with local licensing authorities, various state and county public health departments, and various stakeholders, to re-open with limited capacity for on-site consumption of alcohol beverages and food service.",2020-11-16,public,https://data.colorado.gov/api/views/e7wz-djhw,https://data.colorado.gov/d/e7wz-djhw
dcat:Distribution,https://data.colorado.gov/api/views/e7wz-djhw/rows.json?accessType=DOWNLOAD,application/json,https://data.colorado.gov/api/views/e7wz-djhw/columns.json,application/json,nan,nan,COVID-19 Liquor License Modifications in Colorado,"Due to COVID-19, liquor establishments licensed for on-premises sales and consumption of alcohol beverages were closed, and take out and delivery methods were put into place. As Colorado now starts to re-open certain businesses, the Liquor Enforcement Division has been collaborating with local licensing authorities, various state and county public health departments, and various stakeholders, to re-open with limited capacity for on-site consumption of alcohol beverages and food service.",2020-11-16,public,https://data.colorado.gov/api/views/e7wz-djhw,https://data.colorado.gov/d/e7wz-djhw
dcat:Distribution,https://data.colorado.gov/api/views/e7wz-djhw/rows.xml?accessType=DOWNLOAD,application/xml,https://data.colorado.gov/api/views/e7wz-djhw/columns.svc,application/xml,nan,nan,COVID-19 Liquor License Modifications in Colorado,"Due to COVID-19, liquor establishments licensed for on-premises sales and consumption of alcohol beverages were closed, and take out and delivery methods were put into place. As Colorado now starts to re-open certain businesses, the Liquor Enforcement Division has been collaborating with local licensing authorities, various state and county public health departments, and various stakeholders, to re-open with limited capacity for on-site consumption of alcohol beverages and food service.",2020-11-16,public,https://data.colorado.gov/api/views/e7wz-djhw,https://data.colorado.gov/d/e7wz-djhw
dcat:Distribution,http://dhsem.maps.arcgis.com/apps/opsdashboard/index.html#/911e08e5f72e4536bb9a44a3ad921ce1,text/html,nan,nan,nan,COVID-19 Colorado Cases Dashboard,COVID-19 Colorado Cases Dashboard,,2020-11-16,public,https://data.colorado.gov/api/views/ffjg-bf34,https://data.colorado.gov/d/ffjg-bf34
dcat:Distribution,https://data-cdphe.opendata.arcgis.com/datasets/colorado-covid-19-positive-cases-and-rates-of-infection-by-county-of-identification,text/html,nan,nan,"CDPHE Data on Colorado COVID-19 Positive Cases and Rates of Infection by County of Identification
",Colorado COVID-19 Positive Cases and Rates of Infection by County of Identification,Colorado COVID-19 Positive Cases and Rates of Infection by County of Identification,Colorado COVID-19 Positive Cases and Rates of Infection by County of Identification,2020-11-16,public,https://data.colorado.gov/api/views/inae-mki6,https://data.colorado.gov/d/inae-mki6
dcat:Distribution,https://data.colorado.gov/api/views/kapc-ib6e/rows.csv?accessType=DOWNLOAD,text/csv,nan,nan,nan,nan,Liquor Compliance Check Statistics in Colorado,"Business names, location, liquor license type and dates regarding liquor compliance checks done by the Colorado Department of Revenue, Liquor Enforcement Division. These compliance checks consists of whether or not alcohol was sold to a minor since Jan 2017. Updates are on hold due to the COVID-19 outbreak.",2020-11-16,public,https://data.colorado.gov/api/views/kapc-ib6e,https://data.colorado.gov/d/kapc-ib6e
dcat:Distribution,https://data.colorado.gov/api/views/kapc-ib6e/rows.rdf?accessType=DOWNLOAD,application/rdf+xml,https://data.colorado.gov/api/views/kapc-ib6e/columns.rdf,application/rdf+xml,nan,nan,Liquor Compliance Check Statistics in Colorado,"Business names, location, liquor license type and dates regarding liquor compliance checks done by the Colorado Department of Revenue, Liquor Enforcement Division. These compliance checks consists of whether or not alcohol was sold to a minor since Jan 2017. Updates are on hold due to the COVID-19 outbreak.",2020-11-16,public,https://data.colorado.gov/api/views/kapc-ib6e,https://data.colorado.gov/d/kapc-ib6e
dcat:Distribution,https://data.colorado.gov/api/views/kapc-ib6e/rows.json?accessType=DOWNLOAD,application/json,https://data.colorado.gov/api/views/kapc-ib6e/columns.json,application/json,nan,nan,Liquor Compliance Check Statistics in Colorado,"Business names, location, liquor license type and dates regarding liquor compliance checks done by the Colorado Department of Revenue, Liquor Enforcement Division. These compliance checks consists of whether or not alcohol was sold to a minor since Jan 2017. Updates are on hold due to the COVID-19 outbreak.",2020-11-16,public,https://data.colorado.gov/api/views/kapc-ib6e,https://data.colorado.gov/d/kapc-ib6e
dcat:Distribution,https://data.colorado.gov/api/views/kapc-ib6e/rows.xml?accessType=DOWNLOAD,application/xml,https://data.colorado.gov/api/views/kapc-ib6e/columns.svc,application/xml,nan,nan,Liquor Compliance Check Statistics in Colorado,"Business names, location, liquor license type and dates regarding liquor compliance checks done by the Colorado Department of Revenue, Liquor Enforcement Division. These compliance checks consists of whether or not alcohol was sold to a minor since Jan 2017. Updates are on hold due to the COVID-19 outbreak.",2020-11-16,public,https://data.colorado.gov/api/views/kapc-ib6e,https://data.colorado.gov/d/kapc-ib6e
