distribution_type,distribution_downloadURL,distribution_mediaType,distribution_describedBy,distribution_describedByType,title,description,modified,accessLevel,identifier,landingPage
dcat:Distribution,https://opendata.maryland.gov/api/views/36md-srvk/rows.csv?accessType=DOWNLOAD,text/csv,nan,nan,MD COVID-19 - Total Probable Deaths by Date of Death,"<b>Summary</b>
The cumulative number of probable COVID-19 deaths among Maryland residents, by date of death.

<b>Description</b>
The MD COVID-19 - Total Probable Deaths by Date of Death data layer is a collection of the statewide probable COVID-19 related deaths that have been reported each day by the Vital Statistics Administration by date of death. A death is classified as probable if the person's death certificate notes COVID-19 to be a probable, suspect or presumed cause or condition. Probable deaths are not yet been confirmed by a laboratory test. Some data on deaths may be unavailable due to the time lag between the death, typically reported by a hospital or other facility, and the submission of the complete death certificate. Confirmed deaths are available from the MD COVID-19 - Total Confirmed Deaths by Date of Death data layer.

<b>Terms of Use</b>
The Spatial Data, and the information therein, (collectively the ""Data"") is provided ""as is"" without warranty of any kind, either expressed, implied, or statutory. The user assumes the entire risk as to quality and performance of the Data. No guarantee of accuracy is granted, nor is any responsibility for reliance thereon assumed. In no event shall the State of Maryland be liable for direct, indirect, incidental, consequential or special damages of any kind. The State of Maryland does not accept liability for any damages or misrepresentation caused by inaccuracies in the Data or as a result to changes to the Data, nor is there responsibility assumed to maintain the Data in any manner or form. The Data can be freely distributed as long as the metadata entry is not modified or deleted. Any data derived from the Data must acknowledge the State of Maryland in the metadata.",2020-11-16,public,https://opendata.maryland.gov/api/views/36md-srvk,https://opendata.maryland.gov/d/36md-srvk
dcat:Distribution,https://opendata.maryland.gov/api/views/36md-srvk/rows.rdf?accessType=DOWNLOAD,application/rdf+xml,https://opendata.maryland.gov/api/views/36md-srvk/columns.rdf,application/rdf+xml,MD COVID-19 - Total Probable Deaths by Date of Death,"<b>Summary</b>
The cumulative number of probable COVID-19 deaths among Maryland residents, by date of death.

<b>Description</b>
The MD COVID-19 - Total Probable Deaths by Date of Death data layer is a collection of the statewide probable COVID-19 related deaths that have been reported each day by the Vital Statistics Administration by date of death. A death is classified as probable if the person's death certificate notes COVID-19 to be a probable, suspect or presumed cause or condition. Probable deaths are not yet been confirmed by a laboratory test. Some data on deaths may be unavailable due to the time lag between the death, typically reported by a hospital or other facility, and the submission of the complete death certificate. Confirmed deaths are available from the MD COVID-19 - Total Confirmed Deaths by Date of Death data layer.

<b>Terms of Use</b>
The Spatial Data, and the information therein, (collectively the ""Data"") is provided ""as is"" without warranty of any kind, either expressed, implied, or statutory. The user assumes the entire risk as to quality and performance of the Data. No guarantee of accuracy is granted, nor is any responsibility for reliance thereon assumed. In no event shall the State of Maryland be liable for direct, indirect, incidental, consequential or special damages of any kind. The State of Maryland does not accept liability for any damages or misrepresentation caused by inaccuracies in the Data or as a result to changes to the Data, nor is there responsibility assumed to maintain the Data in any manner or form. The Data can be freely distributed as long as the metadata entry is not modified or deleted. Any data derived from the Data must acknowledge the State of Maryland in the metadata.",2020-11-16,public,https://opendata.maryland.gov/api/views/36md-srvk,https://opendata.maryland.gov/d/36md-srvk
dcat:Distribution,https://opendata.maryland.gov/api/views/36md-srvk/rows.json?accessType=DOWNLOAD,application/json,https://opendata.maryland.gov/api/views/36md-srvk/columns.json,application/json,MD COVID-19 - Total Probable Deaths by Date of Death,"<b>Summary</b>
The cumulative number of probable COVID-19 deaths among Maryland residents, by date of death.

<b>Description</b>
The MD COVID-19 - Total Probable Deaths by Date of Death data layer is a collection of the statewide probable COVID-19 related deaths that have been reported each day by the Vital Statistics Administration by date of death. A death is classified as probable if the person's death certificate notes COVID-19 to be a probable, suspect or presumed cause or condition. Probable deaths are not yet been confirmed by a laboratory test. Some data on deaths may be unavailable due to the time lag between the death, typically reported by a hospital or other facility, and the submission of the complete death certificate. Confirmed deaths are available from the MD COVID-19 - Total Confirmed Deaths by Date of Death data layer.

<b>Terms of Use</b>
The Spatial Data, and the information therein, (collectively the ""Data"") is provided ""as is"" without warranty of any kind, either expressed, implied, or statutory. The user assumes the entire risk as to quality and performance of the Data. No guarantee of accuracy is granted, nor is any responsibility for reliance thereon assumed. In no event shall the State of Maryland be liable for direct, indirect, incidental, consequential or special damages of any kind. The State of Maryland does not accept liability for any damages or misrepresentation caused by inaccuracies in the Data or as a result to changes to the Data, nor is there responsibility assumed to maintain the Data in any manner or form. The Data can be freely distributed as long as the metadata entry is not modified or deleted. Any data derived from the Data must acknowledge the State of Maryland in the metadata.",2020-11-16,public,https://opendata.maryland.gov/api/views/36md-srvk,https://opendata.maryland.gov/d/36md-srvk
dcat:Distribution,https://opendata.maryland.gov/api/views/36md-srvk/rows.xml?accessType=DOWNLOAD,application/xml,https://opendata.maryland.gov/api/views/36md-srvk/columns.svc,application/xml,MD COVID-19 - Total Probable Deaths by Date of Death,"<b>Summary</b>
The cumulative number of probable COVID-19 deaths among Maryland residents, by date of death.

<b>Description</b>
The MD COVID-19 - Total Probable Deaths by Date of Death data layer is a collection of the statewide probable COVID-19 related deaths that have been reported each day by the Vital Statistics Administration by date of death. A death is classified as probable if the person's death certificate notes COVID-19 to be a probable, suspect or presumed cause or condition. Probable deaths are not yet been confirmed by a laboratory test. Some data on deaths may be unavailable due to the time lag between the death, typically reported by a hospital or other facility, and the submission of the complete death certificate. Confirmed deaths are available from the MD COVID-19 - Total Confirmed Deaths by Date of Death data layer.

<b>Terms of Use</b>
The Spatial Data, and the information therein, (collectively the ""Data"") is provided ""as is"" without warranty of any kind, either expressed, implied, or statutory. The user assumes the entire risk as to quality and performance of the Data. No guarantee of accuracy is granted, nor is any responsibility for reliance thereon assumed. In no event shall the State of Maryland be liable for direct, indirect, incidental, consequential or special damages of any kind. The State of Maryland does not accept liability for any damages or misrepresentation caused by inaccuracies in the Data or as a result to changes to the Data, nor is there responsibility assumed to maintain the Data in any manner or form. The Data can be freely distributed as long as the metadata entry is not modified or deleted. Any data derived from the Data must acknowledge the State of Maryland in the metadata.",2020-11-16,public,https://opendata.maryland.gov/api/views/36md-srvk,https://opendata.maryland.gov/d/36md-srvk
dcat:Distribution,https://opendata.maryland.gov/api/views/65kp-hwhm/rows.csv?accessType=DOWNLOAD,text/csv,nan,nan,MD COVID-19 - First Outreach Within 24 Hours of Case Entered into CovidLINK,"<b>Summary</b>
The daily percentage of confirmed COVID-19 cases that are entered into covidLINK that have received a ﬁrst contact tracing contact attempt within 24 hours of entry.

<b>Description</b>
The MD COVID-19 - First Outreach Within 24 Hours of Case Entered into CovidLINK data layer reflects the daily percentage of confirmed COVID-19 cases that are entered into covidLINK that have received a ﬁrst contact attempt within 24 hours of entry. The first outreach attempt is deﬁned as a documented phone call. Individuals that responded to outreach attempts were veriﬁed as the intended call recipient are considered successfully reached. Data are updated weekly on Wednesday during the 10 a.m. hour (data is reported through the previous Saturday).

<b>Terms of Use</b>
The Spatial Data, and the information therein, (collectively the ""Data"") is provided ""as is"" without warranty of any kind, either expressed, implied, or statutory. The user assumes the entire risk as to quality and performance of the Data. No guarantee of accuracy is granted, nor is any responsibility for reliance thereon assumed. In no event shall the State of Maryland be liable for direct, indirect, incidental, consequential or special damages of any kind. The State of Maryland does not accept liability for any damages or misrepresentation caused by inaccuracies in the Data or as a result to changes to the Data, nor is there responsibility assumed to maintain the Data in any manner or form. The Data can be freely distributed as long as the metadata entry is not modified or deleted. Any data derived from the Data must acknowledge the State of Maryland in the metadata.",2020-11-11,public,https://opendata.maryland.gov/api/views/65kp-hwhm,https://opendata.maryland.gov/d/65kp-hwhm
dcat:Distribution,https://opendata.maryland.gov/api/views/65kp-hwhm/rows.rdf?accessType=DOWNLOAD,application/rdf+xml,https://opendata.maryland.gov/api/views/65kp-hwhm/columns.rdf,application/rdf+xml,MD COVID-19 - First Outreach Within 24 Hours of Case Entered into CovidLINK,"<b>Summary</b>
The daily percentage of confirmed COVID-19 cases that are entered into covidLINK that have received a ﬁrst contact tracing contact attempt within 24 hours of entry.

<b>Description</b>
The MD COVID-19 - First Outreach Within 24 Hours of Case Entered into CovidLINK data layer reflects the daily percentage of confirmed COVID-19 cases that are entered into covidLINK that have received a ﬁrst contact attempt within 24 hours of entry. The first outreach attempt is deﬁned as a documented phone call. Individuals that responded to outreach attempts were veriﬁed as the intended call recipient are considered successfully reached. Data are updated weekly on Wednesday during the 10 a.m. hour (data is reported through the previous Saturday).

<b>Terms of Use</b>
The Spatial Data, and the information therein, (collectively the ""Data"") is provided ""as is"" without warranty of any kind, either expressed, implied, or statutory. The user assumes the entire risk as to quality and performance of the Data. No guarantee of accuracy is granted, nor is any responsibility for reliance thereon assumed. In no event shall the State of Maryland be liable for direct, indirect, incidental, consequential or special damages of any kind. The State of Maryland does not accept liability for any damages or misrepresentation caused by inaccuracies in the Data or as a result to changes to the Data, nor is there responsibility assumed to maintain the Data in any manner or form. The Data can be freely distributed as long as the metadata entry is not modified or deleted. Any data derived from the Data must acknowledge the State of Maryland in the metadata.",2020-11-11,public,https://opendata.maryland.gov/api/views/65kp-hwhm,https://opendata.maryland.gov/d/65kp-hwhm
dcat:Distribution,https://opendata.maryland.gov/api/views/65kp-hwhm/rows.json?accessType=DOWNLOAD,application/json,https://opendata.maryland.gov/api/views/65kp-hwhm/columns.json,application/json,MD COVID-19 - First Outreach Within 24 Hours of Case Entered into CovidLINK,"<b>Summary</b>
The daily percentage of confirmed COVID-19 cases that are entered into covidLINK that have received a ﬁrst contact tracing contact attempt within 24 hours of entry.

<b>Description</b>
The MD COVID-19 - First Outreach Within 24 Hours of Case Entered into CovidLINK data layer reflects the daily percentage of confirmed COVID-19 cases that are entered into covidLINK that have received a ﬁrst contact attempt within 24 hours of entry. The first outreach attempt is deﬁned as a documented phone call. Individuals that responded to outreach attempts were veriﬁed as the intended call recipient are considered successfully reached. Data are updated weekly on Wednesday during the 10 a.m. hour (data is reported through the previous Saturday).

<b>Terms of Use</b>
The Spatial Data, and the information therein, (collectively the ""Data"") is provided ""as is"" without warranty of any kind, either expressed, implied, or statutory. The user assumes the entire risk as to quality and performance of the Data. No guarantee of accuracy is granted, nor is any responsibility for reliance thereon assumed. In no event shall the State of Maryland be liable for direct, indirect, incidental, consequential or special damages of any kind. The State of Maryland does not accept liability for any damages or misrepresentation caused by inaccuracies in the Data or as a result to changes to the Data, nor is there responsibility assumed to maintain the Data in any manner or form. The Data can be freely distributed as long as the metadata entry is not modified or deleted. Any data derived from the Data must acknowledge the State of Maryland in the metadata.",2020-11-11,public,https://opendata.maryland.gov/api/views/65kp-hwhm,https://opendata.maryland.gov/d/65kp-hwhm
dcat:Distribution,https://opendata.maryland.gov/api/views/65kp-hwhm/rows.xml?accessType=DOWNLOAD,application/xml,https://opendata.maryland.gov/api/views/65kp-hwhm/columns.svc,application/xml,MD COVID-19 - First Outreach Within 24 Hours of Case Entered into CovidLINK,"<b>Summary</b>
The daily percentage of confirmed COVID-19 cases that are entered into covidLINK that have received a ﬁrst contact tracing contact attempt within 24 hours of entry.

<b>Description</b>
The MD COVID-19 - First Outreach Within 24 Hours of Case Entered into CovidLINK data layer reflects the daily percentage of confirmed COVID-19 cases that are entered into covidLINK that have received a ﬁrst contact attempt within 24 hours of entry. The first outreach attempt is deﬁned as a documented phone call. Individuals that responded to outreach attempts were veriﬁed as the intended call recipient are considered successfully reached. Data are updated weekly on Wednesday during the 10 a.m. hour (data is reported through the previous Saturday).

<b>Terms of Use</b>
The Spatial Data, and the information therein, (collectively the ""Data"") is provided ""as is"" without warranty of any kind, either expressed, implied, or statutory. The user assumes the entire risk as to quality and performance of the Data. No guarantee of accuracy is granted, nor is any responsibility for reliance thereon assumed. In no event shall the State of Maryland be liable for direct, indirect, incidental, consequential or special damages of any kind. The State of Maryland does not accept liability for any damages or misrepresentation caused by inaccuracies in the Data or as a result to changes to the Data, nor is there responsibility assumed to maintain the Data in any manner or form. The Data can be freely distributed as long as the metadata entry is not modified or deleted. Any data derived from the Data must acknowledge the State of Maryland in the metadata.",2020-11-11,public,https://opendata.maryland.gov/api/views/65kp-hwhm,https://opendata.maryland.gov/d/65kp-hwhm
dcat:Distribution,https://opendata.maryland.gov/api/views/65qq-j35q/rows.csv?accessType=DOWNLOAD,text/csv,nan,nan,MD COVID-19 - Total Confirmed Deaths by Date of Death,"<b>Summary</b>
The cumulative number of confirmed COVID-19 deaths among Maryland residents, by date of death.

<b>Description</b>
The MD COVID-19 - Total Confirmed Deaths by Date of Death data layer is a collection of the statewide confirmed COVID-19 related deaths that have been reported each day by the Vital Statistics Administration by date of death. A death is classified as confirmed if the person had a laboratory-confirmed positive COVID-19 test result. Some data on deaths may be unavailable due to the time lag between the death, typically reported by a hospital or other facility, and the submission of the complete death certificate. Probable deaths are available from the MD COVID-19 - Total Probable Deaths by Date of Death data layer.

<b>Terms of Use</b>
The Spatial Data, and the information therein, (collectively the ""Data"") is provided ""as is"" without warranty of any kind, either expressed, implied, or statutory. The user assumes the entire risk as to quality and performance of the Data. No guarantee of accuracy is granted, nor is any responsibility for reliance thereon assumed. In no event shall the State of Maryland be liable for direct, indirect, incidental, consequential or special damages of any kind. The State of Maryland does not accept liability for any damages or misrepresentation caused by inaccuracies in the Data or as a result to changes to the Data, nor is there responsibility assumed to maintain the Data in any manner or form. The Data can be freely distributed as long as the metadata entry is not modified or deleted. Any data derived from the Data must acknowledge the State of Maryland in the metadata.",2020-11-16,public,https://opendata.maryland.gov/api/views/65qq-j35q,https://opendata.maryland.gov/d/65qq-j35q
dcat:Distribution,https://opendata.maryland.gov/api/views/65qq-j35q/rows.rdf?accessType=DOWNLOAD,application/rdf+xml,https://opendata.maryland.gov/api/views/65qq-j35q/columns.rdf,application/rdf+xml,MD COVID-19 - Total Confirmed Deaths by Date of Death,"<b>Summary</b>
The cumulative number of confirmed COVID-19 deaths among Maryland residents, by date of death.

<b>Description</b>
The MD COVID-19 - Total Confirmed Deaths by Date of Death data layer is a collection of the statewide confirmed COVID-19 related deaths that have been reported each day by the Vital Statistics Administration by date of death. A death is classified as confirmed if the person had a laboratory-confirmed positive COVID-19 test result. Some data on deaths may be unavailable due to the time lag between the death, typically reported by a hospital or other facility, and the submission of the complete death certificate. Probable deaths are available from the MD COVID-19 - Total Probable Deaths by Date of Death data layer.

<b>Terms of Use</b>
The Spatial Data, and the information therein, (collectively the ""Data"") is provided ""as is"" without warranty of any kind, either expressed, implied, or statutory. The user assumes the entire risk as to quality and performance of the Data. No guarantee of accuracy is granted, nor is any responsibility for reliance thereon assumed. In no event shall the State of Maryland be liable for direct, indirect, incidental, consequential or special damages of any kind. The State of Maryland does not accept liability for any damages or misrepresentation caused by inaccuracies in the Data or as a result to changes to the Data, nor is there responsibility assumed to maintain the Data in any manner or form. The Data can be freely distributed as long as the metadata entry is not modified or deleted. Any data derived from the Data must acknowledge the State of Maryland in the metadata.",2020-11-16,public,https://opendata.maryland.gov/api/views/65qq-j35q,https://opendata.maryland.gov/d/65qq-j35q
